-59.5	-59.5	0.00455135	-0.000100622	-nan	0.000207842	0	0	1e-06
-59.5	-58.5	0.00455049	-0.000301778	-nan	0.000208299	0	0	0.00416044
-59.5	-57.5	0.00454874	-0.000502667	-nan	0.000209213	0	0	0.00833392
-59.5	-56.5	0.00454603	-0.000703107	-nan	0.000210583	0	0	0.0125292
-59.5	-55.5	0.00454224	-0.000902913	-nan	0.000212412	0	0	0.0167549
-59.5	-54.5	0.00453724	-0.00110189	-nan	0.0002147	0	0	0.0210197
-59.5	-53.5	0.00453084	-0.00129985	-nan	0.000217447	0	0	0.0253324
-59.5	-52.5	0.00452283	-0.00149656	-nan	0.000220655	0	0	0.0297017
-59.5	-51.5	0.00451295	-0.00169181	-nan	0.000224326	0	0	0.0341362
-59.5	-50.5	0.00450091	-0.00188537	-nan	0.00022846	0	0	0.0386446
-59.5	-49.5	0.00448638	-0.00207699	-nan	0.000233058	0	0	0.0432356
-59.5	-48.5	0.00446899	-0.00226639	-nan	0.000238123	0	0	0.0479179
-59.5	-47.5	0.00444833	-0.00245329	-nan	0.000243655	0	0	0.0527
-59.5	-46.5	0.00442395	-0.00263739	-nan	0.000249655	0	0	0.0575906
-59.5	-45.5	0.00439537	-0.00281837	-nan	0.000256123	0	0	0.0625982
-59.5	-44.5	0.00436204	-0.00299587	-nan	0.00026306	0	0	0.0677314
-59.5	-43.5	0.0043234	-0.00316952	-nan	0.000270466	0	0	0.0729984
-59.5	-42.5	0.00427884	-0.00333894	-nan	0.00027834	0	0	0.0784077
-59.5	-41.5	0.00422769	-0.00350372	-nan	0.000286681	0	0	0.0839675
-59.5	-40.5	0.00416925	-0.0036634	-nan	0.000295487	0	0	0.0896859
-59.5	-39.5	0.00410277	-0.00381752	-nan	0.000304754	0	0	0.0955709
-59.5	-38.5	0.00402748	-0.0039656	-nan	0.000314479	0	0	0.10163
-59.5	-37.5	0.00394253	-0.00410713	-nan	0.000324657	0	0	0.107872
-59.5	-36.5	0.00384705	-0.00424156	-nan	0.000335281	0	0	0.114302
-59.5	-35.5	0.00374013	-0.00436835	-nan	0.000346345	0	0	0.12093
-59.5	-34.5	0.0036208	-0.00448691	-nan	0.000357838	0	0	0.12776
-59.5	-33.5	0.00348806	-0.00459665	-nan	0.00036975	0	0	0.134801
-59.5	-32.5	0.00334087	-0.00469696	-nan	0.000382069	0	0	0.142057
-59.5	-31.5	0.00317816	-0.00478722	-nan	0.000394781	0	0	0.149535
-59.5	-30.5	0.00299881	-0.00486679	-nan	0.000407869	0	0	0.15724
-59.5	-29.5	0.00280166	-0.00493504	-nan	0.000421315	0	0	0.165177
-59.5	-28.5	0.00258555	-0.00499131	-nan	0.000435099	0	0	0.17335
-59.5	-27.5	0.00234926	-0.00503497	-nan	0.000449197	0	0	0.181763
-59.5	-26.5	0.00209156	-0.00506539	-nan	0.000463585	0	0	0.190419
-59.5	-25.5	0.00181118	-0.00508196	-nan	0.000478236	0	0	0.199321
-59.5	-24.5	0.00150688	-0.00508405	-nan	0.00049312	0	0	0.208469
-59.5	-23.5	0.00117735	-0.00507112	-nan	0.000508204	0	0	0.217866
-59.5	-22.5	0.000821303	-0.00504259	-nan	0.000523454	0	0	0.227511
-59.5	-21.5	0.000437455	-0.00499799	-nan	0.000538832	0	0	0.237403
-59.5	-20.5	2.4515e-05	-0.00493683	-nan	0.0005543	0	0	0.247542
-59.5	-19.5	-0.000418796	-0.00485871	-nan	0.000569816	0	0	0.257924
-59.5	-18.5	-0.000893737	-0.00476329	-nan	0.000585336	0	0	0.268546
-59.5	-17.5	-0.00140155	-0.00465027	-nan	0.000600815	0	0	0.279405
-59.5	-16.5	-0.00194343	-0.00451944	-nan	0.000616205	0	0	0.290493
-59.5	-15.5	-0.00252054	-0.00437068	-nan	0.000631458	0	0	0.301807
-59.5	-14.5	-0.00313402	-0.00420393	-nan	0.000646522	0	0	0.313337
-59.5	-13.5	-0.00378492	-0.00401923	-nan	0.000661347	0	0	0.325076
-59.5	-12.5	-0.00447424	-0.00381672	-nan	0.000675881	0	0	0.337014
-59.5	-11.5	-0.00520292	-0.00359663	-nan	0.000690071	0	0	0.349142
-59.5	-10.5	-0.0059718	-0.00335929	-nan	0.000703864	0	0	0.361448
-59.5	-9.5	-0.00678165	-0.00310516	-nan	0.000717209	0	0	0.373919
-59.5	-8.5	-0.00763313	-0.00283476	-nan	0.000730052	0	0	0.386544
-59.5	-7.5	-0.0085268	-0.00254876	-nan	0.000742344	0	0	0.399309
-59.5	-6.5	-0.0094631	-0.0022479	-nan	0.000754035	0	0	0.412199
-59.5	-5.5	-0.0104424	-0.00193305	-nan	0.000765081	0	0	0.425201
-59.5	-4.5	-0.0114648	-0.00160517	-nan	0.000775439	0	0	0.438301
-59.5	-3.5	-0.0125303	-0.00126528	-nan	0.000785057	0	0	0.451492
-59.5	-2.5	-0.013639	-0.00091446	-nan	0.000793791	0	1.46846e-33	0.46478
-59.5	-1.5	-0.0147905	-0.000553866	-nan	0.000800923	-0.000181393	5.96874e-18	0.478226
-59.5	-0.5	-0.0158036	-0.000185644	-nan	0.000804634	-0.00105724	1.79062e-17	0.241461
-59.5	0.5	-0.0158036	0.000185644	-nan	0.000804634	-0.00105724	1.79062e-17	0.245617
-59.5	1.5	-0.0147905	0.000553866	-nan	0.000800923	-0.000181393	5.96874e-18	0.482382
-59.5	2.5	-0.013639	0.00091446	-nan	0.000793791	0	0	0.468936
-59.5	3.5	-0.0125303	0.00126528	-nan	0.000785057	0	0	0.455648
