-59.5	-59.5	-0.00505299	-5.7252e-05	2.30029	0.000100232	0	0	1e-06
-59.5	-58.5	-0.00504834	-0.000171796	2.43883	0.00010054	0	0	0.0034359
-59.5	-57.5	-0.00503901	-0.000286457	2.47485	0.000101157	0	0	0.00688461
-59.5	-56.5	-0.00502495	-0.000401314	2.48374	0.000102085	0	0	0.0103547
-59.5	-55.5	-0.00500606	-0.000516441	2.47709	0.000103327	0	0	0.0138547
-59.5	-54.5	-0.00498222	-0.00063191	2.45953	0.000104888	0	0	0.0173933
-59.5	-53.5	-0.0049533	-0.000747791	2.43393	0.000106774	0	0	0.0209791
-59.5	-52.5	-0.00491911	-0.000864146	2.40252	0.00010899	0	0	0.024621
-59.5	-51.5	-0.00487944	-0.000981032	2.36719	0.000111545	0	0	0.0283276
-59.5	-50.5	-0.00483405	-0.0010985	2.32961	0.000114447	0	0	0.032108
-59.5	-49.5	-0.00478269	-0.00121659	2.29126	0.000117706	0	0	0.035971
-59.5	-48.5	-0.00472504	-0.00133535	2.25338	0.000121334	0	0	0.0399258
-59.5	-47.5	-0.00466077	-0.00145477	2.217	0.000125343	0	0	0.0439815
-59.5	-46.5	-0.00458951	-0.00157489	2.18295	0.000129747	0	0	0.0481474
-59.5	-45.5	-0.00451089	-0.00169568	2.15184	0.00013456	0	0	0.052433
-59.5	-44.5	-0.00442445	-0.00181713	2.12409	0.000139798	0	0	0.0568476
-59.5	-43.5	-0.00432976	-0.0019392	2.09994	0.000145479	0	0	0.061401
-59.5	-42.5	-0.00422631	-0.00206182	2.07952	0.000151621	0	0	0.0661027
-59.5	-41.5	-0.00411359	-0.0021849	2.06283	0.000158243	0	0	0.0709627
-59.5	-40.5	-0.00399105	-0.00230833	2.04978	0.000165367	0	0	0.0759907
-59.5	-39.5	-0.00385811	-0.00243196	2.04024	0.000173014	0	0	0.0811967
-59.5	-38.5	-0.00371417	-0.00255562	2.03406	0.000181206	0	0	0.0865906
-59.5	-37.5	-0.0035586	-0.00267908	2.03105	0.000189969	0	0	0.0921826
-59.5	-36.5	-0.00339076	-0.00280209	2.03106	0.000199325	0	0	0.0979826
-59.5	-35.5	-0.00320999	-0.00292435	2.03395	0.000209301	0	0	0.104001
-59.5	-34.5	-0.00301562	-0.0030455	2.03961	0.000219922	0	0	0.110247
-59.5	-33.5	-0.00280697	-0.00316512	2.04796	0.000231214	0	0	0.11673
